Vigencia Presupuestal;Identificación de la Entidad;Nombre de la Entidad;NIT del Ejecutor del proyecto de Inversión;Identificación del proyecto de Inversión;Nombre del proyecto de Inversión;Código del recurso presupuestal;Descripción del recurso presupuestal;Código del Fondo;Descripción del Fondo;Fecha de registro;Estado;Causal de No Validación;ene-01;feb-01;mar-01;abr-01;may-01;jun-01;jul-01;ago-01;sep-01;oct-01;nov-01;dic-01;ene-02;feb-02;mar-02;abr-02;may-02;jun-02;jul-02;ago-02;sep-02;oct-02;nov-02;dic-02;Meses Posteriores
2025-2026;03-270001;FONDO MIXTO DE ETNOCULTURA Y DESARROLLO SOCIAL - FONPACIFICO;901039684;00IL-2201-0700-2023-76246-0011;CONSTRUCCIÓN DE CUBIERTA EN EL COLEGIO LA PRESENTACIÓN EN EL MUNICIPIO DE EL CAIRO;IL76246;INVERSIÓN LOCAL NBI Y CUARTA QUINTA Y SEXTA CAT EL CAIRO - VALLE DEL CAUCA;AIL;ASIGNACION PARA LA INVERSION LOCAL;2025-01-22 17:48:19;Registrado;;0,00;0,00;1061500,53;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2025-2026;03-270001;FONDO MIXTO DE ETNOCULTURA Y DESARROLLO SOCIAL - FONPACIFICO;901039684;00IL-2402-0600-2023-76400-0002;MEJORAMIENTO DE VÍAS URBANAS EN LA CALLE 16 ENTRE CRAS 9 Y 11. CALLE 15 ENTRE CRAS 15 Y 16. CARRERA 16 Y CALLE 22 FRENTE AL PARQUE SAN PEDRO LA UNIÓN;IL76400;INVERSIÓN LOCAL NBI Y CUARTA QUINTA Y SEXTA CAT LA UNIÓN - VALLE DEL CAUCA;AIL;ASIGNACION PARA LA INVERSION LOCAL;2025-01-22 17:50:02;Validado;;159483857,25;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2025-2026;03-270001;FONDO MIXTO DE ETNOCULTURA Y DESARROLLO SOCIAL - FONPACIFICO;901039684;00IL-4002-1400-2021-76400-0018;REMODELACIÓN PARQUE PRINCIPAL ARGEMIRO ESCOBAR CARDONA LA UNIÓN;IL76400;INVERSIÓN LOCAL NBI Y CUARTA QUINTA Y SEXTA CAT LA UNIÓN - VALLE DEL CAUCA;AIL;ASIGNACION PARA LA INVERSION LOCAL;2025-01-22 17:50:22;Validado;;0,00;0,00;437923042,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2025-2026;03-270001;FONDO MIXTO DE ETNOCULTURA Y DESARROLLO SOCIAL - FONPACIFICO;901039684;00IL-4003-1400-2022-76400-0010;REPOSICIÓN DE REDES DE ALCANTARILLADO EN VIAS URBANAS DEL MUNICIPIO DE LA UNIÓN;IL76400;INVERSIÓN LOCAL NBI Y CUARTA QUINTA Y SEXTA CAT LA UNIÓN - VALLE DEL CAUCA;AIL;ASIGNACION PARA LA INVERSION LOCAL;2025-01-22 17:50:56;Validado;;0,00;65822813,48;0,02;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2025-2026;03-270001;FONDO MIXTO DE ETNOCULTURA Y DESARROLLO SOCIAL - FONPACIFICO;901039684;00IL-2402-0600-2023-76497-0005;MEJORAMIENTO DE VIAS TERCIARIAS MEDIANTE EL USO DE PLACA HUELLA EN VIA RURAL EL RECREO MUNICIPIO DE OBANDO;IL76497;INVERSIÓN LOCAL NBI Y CUARTA QUINTA Y SEXTA CAT OBANDO - VALLE DEL CAUCA;AIL;ASIGNACION PARA LA INVERSION LOCAL;2025-01-22 17:51:35;Registrado;;0,00;0,00;11790539,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2025-2026;03-270001;FONDO MIXTO DE ETNOCULTURA Y DESARROLLO SOCIAL - FONPACIFICO;901039684;00IL-4599-0100-2024-76563-0081;MEJORAMIENTO DE INSTALACIONES LOCATIVAS EN EL CENTRO ADMINISTRATIVO MUNICIPAL (CAM) MUNICIPIO DE PRADERA;IL76563;INVERSIÓN LOCAL NBI Y CUARTA QUINTA Y SEXTA CAT PRADERA - VALLE DEL CAUCA;AIL;ASIGNACION PARA LA INVERSION LOCAL;2025-01-22 17:52:22;Validado;;0,00;375056784,80;562585177,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2025-2026;03-270001;FONDO MIXTO DE ETNOCULTURA Y DESARROLLO SOCIAL - FONPACIFICO;901039684;00IL-2402-0600-2021-76563-0178;PAVIMENTACIÓN DE VÍAS URBANAS EN EL MUNICIPIO PDET DE PRADERA DPTO DEL VALLE DEL CAUCA;IL76563;INVERSIÓN LOCAL NBI Y CUARTA QUINTA Y SEXTA CAT PRADERA - VALLE DEL CAUCA;AIL;ASIGNACION PARA LA INVERSION LOCAL;2025-01-22 17:52:45;Registrado;;0,00;0,00;12719304,36;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2025-2026;03-270001;FONDO MIXTO DE ETNOCULTURA Y DESARROLLO SOCIAL - FONPACIFICO;901039684;00IL-2402-0600-2022-76890-0059;MEJORAMIENTO Y CONSTRUCCIÓN DE VIAS EN CONCRETO HIDRAULICO EN LA ZONA URBANA Y RURAL DEL MUNICIPIO DE YOTOCO VALLE DEL CAUCA;IL76890;INVERSIÓN LOCAL NBI Y CUARTA QUINTA Y SEXTA CAT YOTOCO - VALLE DEL CAUCA;AIL;ASIGNACION PARA LA INVERSION LOCAL;2025-01-22 17:53:25;Validado;;0,00;38709690,00;197382,23;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2025-2026;03-270001;FONDO MIXTO DE ETNOCULTURA Y DESARROLLO SOCIAL - FONPACIFICO;901039684;00IL-2402-0600-2023-76890-0062;CONSTRUCCIÓN PAVIMENTO RIGIDO EN LA CALLE 5 ENTRE CARRERAS 5 Y 6 YO AMPLIACIÓN DE VÍA MEDIA CANOA YOTOCO VALLE DEL CAUCA MUNICIPIO DE YOTOCO;IL76890;INVERSIÓN LOCAL NBI Y CUARTA QUINTA Y SEXTA CAT YOTOCO - VALLE DEL CAUCA;AIL;ASIGNACION PARA LA INVERSION LOCAL;2025-01-22 17:54:36;Validado;;0,00;0,00;381309668,75;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2025-2026;03-270001;FONDO MIXTO DE ETNOCULTURA Y DESARROLLO SOCIAL - FONPACIFICO;901039684;00IL-2201-0700-2023-76890-0061;MEJORAMIENTO DE SEDES EDUCATIVAS RURALES PERTENECIENTES AL MUNICIPIO DE YOTOCO;IL76890;INVERSIÓN LOCAL NBI Y CUARTA QUINTA Y SEXTA CAT YOTOCO - VALLE DEL CAUCA;AIL;ASIGNACION PARA LA INVERSION LOCAL;2025-01-22 17:55:04;Registrado;;0,00;0,00;22375813,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2025-2026;03-270001;FONDO MIXTO DE ETNOCULTURA Y DESARROLLO SOCIAL - FONPACIFICO;901039684;00IL-2408-0600-2023-76890-0057;MEJORAMIENTO DE LA MOVILIDAD PEATONAL EN EL MUNICIPIO DE YOTOCO;IL76890;INVERSIÓN LOCAL NBI Y CUARTA QUINTA Y SEXTA CAT YOTOCO - VALLE DEL CAUCA;AIL;ASIGNACION PARA LA INVERSION LOCAL;2025-01-22 17:55:26;Validado;;0,00;65445778,83;366370,24;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2025-2026;03-270001;FONDO MIXTO DE ETNOCULTURA Y DESARROLLO SOCIAL - FONPACIFICO;901039684;00IL-3206-0900-2023-76890-0055;CONSERVACIÓN DE ECOSISTEMAS Y FUENTES HÍDRICAS MEDIANTE LA INSTALACIÓN DE ESTUFAS ECO-EFICIENTES FIJAS Y REFORESTACIÓN EN ZONA RURAL PRIORIZADA DEL MUNICIPIO DE YOTOCO;IL76890;INVERSIÓN LOCAL NBI Y CUARTA QUINTA Y SEXTA CAT YOTOCO - VALLE DEL CAUCA;AIL;ASIGNACION PARA LA INVERSION LOCAL;2025-01-22 17:55:48;Validado;;0,00;0,00;1282433,80;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2025-2026;03-270001;FONDO MIXTO DE ETNOCULTURA Y DESARROLLO SOCIAL - FONPACIFICO;901039684;00IL-4103-1400-2023-86001-0121;MEJORAMIENTO DE LA CASA DEL SABER YANACONA YACHAY WASI MUNICIPIO DE MOCOA DEPARTAMENTO DEL PUTUMAYO;IL86001;INVERSIÓN LOCAL NBI Y CUARTA QUINTA Y SEXTA CAT MOCOA - PUTUMAYO;AIL;ASIGNACION PARA LA INVERSION LOCAL;2025-01-22 17:56:15;Registrado;;0,00;0,00;1209949,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2025-2026;03-270001;FONDO MIXTO DE ETNOCULTURA Y DESARROLLO SOCIAL - FONPACIFICO;901039684;00IL-2201-0700-2024-86320-0004;CONSTRUCCIÓN Y DOTACIÓN DE PLACA POLIDEPORTIVA CUBIERTA EN LA INSTITUCIÓN EDUCATIVA RURAL SINAI MUNICIPIO DE ORITO DEPARTAMENTO DEL PUTUMAYO;IL86320;INVERSIÓN LOCAL NBI Y CUARTA QUINTA Y SEXTA CAT ORITO - PUTUMAYO;AIL;ASIGNACION PARA LA INVERSION LOCAL;2025-01-22 17:56:41;Validado;;24280001,47;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2025-2026;03-270001;FONDO MIXTO DE ETNOCULTURA Y DESARROLLO SOCIAL - FONPACIFICO;901039684;00IL-2402-0600-2024-86571-0094;MANTENIMIENTO PERIÓDICO DE VÍAS URBANAS CON ESTABILIZACIÓN DE AFIRMADO EN EL MUNICIPIO DE PUERTO GUZMÁN DEPARTAMENTO PUTUMAYO;IL86571;INVERSIÓN LOCAL NBI Y CUARTA QUINTA Y SEXTA CAT PUERTO GUZMÁN - PUTUMAYO;AIL;ASIGNACION PARA LA INVERSION LOCAL;2025-01-22 17:57:03;Validado;;0,00;234262013,00;16398340,98;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2025-2026;03-270001;FONDO MIXTO DE ETNOCULTURA Y DESARROLLO SOCIAL - FONPACIFICO;901039684;00IL-2201-0700-2023-86885-0159;PRESTACIÓN DEL SERVICIO DE TRANSPORTE ESCOLAR EN MUNICIPIO DE VILLAGARZÓN DEPARTAMENTO DEL PUTUMAYO;IL86885;INVERSIÓN LOCAL NBI Y CUARTA QUINTA Y SEXTA CAT VILLAGARZÓN - PUTUMAYO;AIL;ASIGNACION PARA LA INVERSION LOCAL;2025-01-22 17:57:46;Validado;;0,00;0,00;120529519,84;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2025-2026;03-270001;FONDO MIXTO DE ETNOCULTURA Y DESARROLLO SOCIAL - FONPACIFICO;901039684;00IL-2201-0700-2024-86885-0028;CONSTRUCCIÓN Y DOTACIÓN DE PLACA POLIDEPORTIVA CUBIERTA EN LA INSTITUCIÓN EDUCATIVA RURAL ESCUELA RURAL MIXTA LA ESPERANZA MUNICIPIO DE VILLAGARZON DEPARTAMENTO DEL PUTUMAYO;IL86885;INVERSIÓN LOCAL NBI Y CUARTA QUINTA Y SEXTA CAT VILLAGARZÓN - PUTUMAYO;AIL;ASIGNACION PARA LA INVERSION LOCAL;2025-01-22 17:58:08;Validado;;0,00;0,00;751017402,25;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2025-2026;03-270001;FONDO MIXTO DE ETNOCULTURA Y DESARROLLO SOCIAL - FONPACIFICO;901039684;00IL-4003-1400-2023-86885-0225;CONSTRUCCIÓN DE MURO DE CERRAMIENTO PERIMETRAL EN MAMPOSTERÍA Y MALLA ESLABONADA EN LA PTAP DEL MUNICIPIO DE VILLAGARZÓN - DEPARTAMENTO DEL PUTUMAYO;IL86885;INVERSIÓN LOCAL NBI Y CUARTA QUINTA Y SEXTA CAT VILLAGARZÓN - PUTUMAYO;AIL;ASIGNACION PARA LA INVERSION LOCAL;2025-01-22 17:58:23;Registrado;;0,00;0,00;88556050,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2025-2026;03-270001;FONDO MIXTO DE ETNOCULTURA Y DESARROLLO SOCIAL - FONPACIFICO;901039684;00IL-4301-1604-2023-86885-0187;MEJORAMIENTO COLISEO DEL BARRIO EL DORADO MUNICIPIO DE VILLAGARZON DEPARTAMENTO DEL PUTUMAYO;IL86885;INVERSIÓN LOCAL NBI Y CUARTA QUINTA Y SEXTA CAT VILLAGARZÓN - PUTUMAYO;AIL;ASIGNACION PARA LA INVERSION LOCAL;2025-01-22 17:58:43;Validado;;0,00;28992242,51;66722788,30;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2025-2026;03-270001;FONDO MIXTO DE ETNOCULTURA Y DESARROLLO SOCIAL - FONPACIFICO;901039684;00PI-2102-1900-2022-86885-0079;IMPLEMENTACIÓN DE SISTEMAS DE ENERGÍA SOLAR FOTOVOLTAICA EN LA ZONA RURAL DEL MUNICIPIO DE VILLAGARZON DEPARTAMENTO DEL PUTUMAYO;PI86885;INCENTIVOS A LA PROD. PAZ - VILLAGARZÓN - PUTUMAYO;IPAZ;INCENTIVOS A LA PRODUCCION MINERA - APROBADOS POR OCAD PAZ;2025-01-22 17:59:28;Validado;;0,00;803129979,89;341834643,58;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2025-2026;03-270001;FONDO MIXTO DE ETNOCULTURA Y DESARROLLO SOCIAL - FONPACIFICO;901039684;00PI-2102-1900-2022-86885-0111;CONSTRUCCIÓN DE LA SOLUCION DE ENERGIA ELECTRICA PARA INSTITUCIONES EDUCATIVAS CON FUENTES NO CONVENCIONALES DE ENERGIA RENOVABLE FNCER. UBICADOS EN LA ZONA RURAL DEL MUNICIPIO DE VILLAGARZON DEPARTAMENTO DEL PUTUMAYO;PI86885;INCENTIVOS A LA PROD. PAZ - VILLAGARZÓN - PUTUMAYO;IPAZ;INCENTIVOS A LA PRODUCCION MINERA - APROBADOS POR OCAD PAZ;2025-01-22 17:59:51;Validado;;0,00;257061347,20;143153521,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2025-2026;03-270001;FONDO MIXTO DE ETNOCULTURA Y DESARROLLO SOCIAL - FONPACIFICO;901039684;00RG-1709-1100-2020-130101-1524;CONSTRUCCIÓN DOTACIÓN Y PUESTA EN MARCHA DE UNA PLANTA DE BENEFICIO DE BOVINOS EN EL MUNICIPIO DE SAN VICENTE DEL CAGUÁN;RG18000;AIR REGIONALES - DEPARTAMENTO DE CAQUETÁ;AIRR;ASIGNACION PARA LA INVERSION REGIONAL - REGIONES;2025-01-22 18:01:24;Validado;;0,00;0,00;21354894725,84;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2025-2026;03-270001;FONDO MIXTO DE ETNOCULTURA Y DESARROLLO SOCIAL - FONPACIFICO;901039684;00RG-2402-0600-2023-00006-0014;MEJORAMIENTO DE LOS CORREDORES VIALES RURALES QUE COMUNICAN LOS MUNICIPIOS LA MONTAÑITA Y EL DONCELLO EN EL DEPARTAMENTO DE CAQUETÁ;RG18000;AIR REGIONALES - DEPARTAMENTO DE CAQUETÁ;AIRR;ASIGNACION PARA LA INVERSION REGIONAL - REGIONES;2025-01-22 18:01:53;Validado;;0,00;324751762,67;2257303768,04;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2025-2026;03-270001;FONDO MIXTO DE ETNOCULTURA Y DESARROLLO SOCIAL - FONPACIFICO;901039684;00IL-2402-0600-2023-18150-0063;CONSTRUCCIÓN DE INTERSECCIÓN TIPO ANULAR Y SENDERO PEATONAL EN LA CALLE 4 CON CARRERA 13 SECTOR URBANO DEL MUNICIPIO DE CARTAGENA DEL CHAIRÁ DEPARTAMENTO DEL CAQUETÁ;IL18150;INVERSIÓN LOCAL NBI Y CUARTA QUINTA Y SEXTA CAT CARTAGENA DEL CHAIRÁ - CAQUETÁ;AIL;ASIGNACION PARA LA INVERSION LOCAL;2025-01-28 16:51:08;Validado;;0,00;639676607,33;970455501,52;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2025-2026;03-270001;FONDO MIXTO DE ETNOCULTURA Y DESARROLLO SOCIAL - FONPACIFICO;901039684;00IL-4302-1604-2023-18150-0057;CONSTRUCCIÓN DE ESPACIOS DE INTEGRACIÓN CIUDADANA CANCHA EN GRAMA SINTÉTICA Y CUBIERTA PARA POLIDEPORTIVO EN LA ZONA URBANA DEL MUNICIPIO DE CARTAGENA DEL CHAIRÁ;IL18150;INVERSIÓN LOCAL NBI Y CUARTA QUINTA Y SEXTA CAT CARTAGENA DEL CHAIRÁ - CAQUETÁ;AIL;ASIGNACION PARA LA INVERSION LOCAL;2025-01-28 16:56:12;Validado;;0,00;0,00;173014113,64;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2025-2026;03-270001;FONDO MIXTO DE ETNOCULTURA Y DESARROLLO SOCIAL - FONPACIFICO;901039684;00AD-2201-0700-2024-86885-0022;CONSTRUCCIÓN Y DOTACIÓN DE PLACA POLIDEPORTIVA CUBIERTA EN LA INSTITUCIÓN EDUCATIVA RURAL AGROPECUARIA CIUDAD DE VILLAGARZON SEDE LA PAZ MUNICIPIO DE VILLAGARZON DEPARTAMENTO DEL PUTUMAYO;AD86885;ASIGNACIONES DIRECTAS - VILLAGARZÓN - PUTUMAYO;ADIR;ASIGNACIONES DIRECTAS;2025-02-05 10:44:01;Validado;;0,00;6400000,00;72788354,24;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2025-2026;03-270001;FONDO MIXTO DE ETNOCULTURA Y DESARROLLO SOCIAL - FONPACIFICO;901039684;00AR-2402-0600-2024-00686-0364;MEJORAMIENTO DE VIAS URBANAS MEDIANTE LA CONSTRUCCIÓN DE PAVIMENTO EN CONCRETO HIDRÁULICO EN LA CALLE 14 ENTRE CARRERA 21 A 19 A DEL BARRIO LA ESMERALDA DEL MUNICIPIO DE MOCOA DEPARTAMENTO DEL PUTUMAYO;AR86000;AIR - PUTUMAYO;AIRD;ASIGNACION PARA LA INVERSION REGIONAL - DEPARTAMENTOS;2025-02-12 11:45:52;Validado;;0,00;0,00;484534850,72;1010222533,74;1194930828,70;1047196802,87;879076279,02;763174430,59;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
